job_title,employer_location,job_description,industry,job_desc_count,masculine_counts,feminine_counts,mas_pron_counts,fem_pron_counts,sup_counts,mas_tot,fem_tot,mas_ratio,fem_ratio
Customer Service - Veterinary Assistant for Mobile Veterinary Clinics -,"Huntington Beach, CA, US",veterinary assistant mobile veterinary clinic want work impact pets lives? enjoy working team fast paced environment fun rewarding? love animals? thats welcome vetco vetco veterinary service organization operating clinics petco stores nationwide vetco providing great veterinary service pet parents 4 legged best friends 1 goal vetco veterinary assistant meet veterinary team local dispatch office travel assigned petco clinic locations day clinics team veterinary assistants greet pet parents recommend veterinary services best protect pets veterinary assistant assist veterinarian services administered thank pet parent protecting pet vetco committed make job experience fun exciting experience rewarding experience well mission avoid illness animals humans client education regarding value necessity preventive veterinary medicine strongly encourage pet vaccination anti parasitic treatment diagnostic screening dogs cats based pets lifestyle foundation success lies strength commitment treating pets serve loving owners equally integrity dignity respect part time hourly position bonus opportunity,vetinary,142,3,5,0,0,2,5,5,0.035211267605633804,0.035211267605633804
Veterinary Practice Manager,"Irvine, CA, US",clinic looking practice manager innovative positive attitude potential grow adapt evolve ever changing business climate wonderful clients strive provide exceptional customer service improve client pet experience excellent practice manager make big impact right manager us customer service oriented leadership skills industry considered willing teach right candidate industry core values inclusive list general idea role practice manager clinic additional details provided upon receipt resume qualified applicants busy 2 doctor practice focuses care dogs cats practice serving community generations clients really love us covid 19 pandemic brought us masks snacks gift cards gloves showered us thanks provide curbside service pets theyre amazing strive give 110 everyday,vetinary,104,3,2,0,0,0,3,2,0.028846153846153848,0.019230769230769232
Veterinary Assistant,"Washington, D.C., DC, US",description job description veterinary assistants help technicians doctors campus representatives duties hospital responsibilities vary current needs hospital staff season year individual abilities demonstrated employee veterinary assistants responsible pre post exam procedures includes limited medical record collection compilation weighing recording patient weight taking temperature assisting restraint blood draw catheter placement monitoring anesthesia essential duties assigned ensuring doctor adequate support provide best possible treatment patient experience cornerstone plus job type full time salary doe,vetinary,72,1,4,0,0,1,2,4,0.027777777777777776,0.05555555555555555
Veterinary Assistant,"Ceres, CA, US",warm outgoing enthusiastic veterinary superstar passionate animals? top notch communication skills strong attention detail? position successful veterinary practice ceres immediate opening full time veterinary assistant position requires least two years experience veterinary assistant however candidate required rvt duties include limited rooming patients taking patient histories pet parents taking tprs weighing patients successful candidate technical skills ear cleaning iv catheter placement drawing blood running laboratory equipment well knowledge common veterinary medications flea treatments heartworm preventions prescription foods enthusiastic learning excitement trying new things need apply today fun unique interview process go getter ready advance career dont pass opportunity selected participate interview process position notify via email address provided application process please sure monitor junk mail folder ensure receive communication us look forward hearing,vetinary,122,4,4,0,0,0,4,4,0.03278688524590164,0.03278688524590164
Veterinary Technician,"Marina del Rey, CA, US",applicants must skilled seeking hard working self motivated individual position veterinary assistant veterinary technician 24 hour high volume veterinary practice experience required iv catheter placement phlebotomy safely restraining cats dogs taking radiographs orthopedic soft tissue anesthesia monitoring dental cleanings individuals must also comfortable client communication computers paperless records must demonstrate excellent patient care duties include checking patients clinic patient care filling prescriptions client education laser treatments running house blood work equipment maintenance stocking cleaning giving medicated baths laundry full time part time positions available salary based experience skill level please submit letter intent resume apply job types full time part time salary 17 00 25 00 hour,vetinary,107,4,1,0,0,0,4,1,0.037383177570093455,0.009345794392523364
Veterinary Technician,"Somerset, NJ, US",job overview covance’s work developing new pharmaceutical solutions incredible impact millions lives worldwide part life saving work help improve patients lives growing career great opportunity veterinary technician somerset new jersey facility ideal candidate background veterinary services looking opportunity apply skills variety animals research setting eoe aa employer organization discriminate employment practices due applicants race age color religion sex national origin sexual orientation gender identity disability veteran status,vetinary,67,2,2,0,0,0,2,2,0.029850746268656716,0.029850746268656716
Veterinary Assistant,"Tacoma, WA, US",veterinary assistant tacoma wa thank interest opportunity please take moment provide following information back job back job please correct following errors try general information legal first name legal middle name legal last name email address phone may someone team contact via text message? yes maximum commute time willing consider? please select 10 minutes less 15 minutes less 20 minutes less 25 minutes less 30 minutes less 35 minutes less 40 minutes less 45 minutes less 50 minutes less 55 minutes less 1 hour less maximum commute time willing consider? place residence full address must provided resume please upload recent version resume microsoft word excel pdf format,vetinary,106,0,0,0,0,0,0,0,0.0,0.0
Veterinary Criticalist,"Commerce, CA, US",medvet commerce seeking board certified residency trained individual join critical care team ideal candidate thrives fast paced environment dedicated practicing highest quality emergency medicine critical care recruited candidate join medvet emergency medicine critical care teams treating 100 000 patients annually medvet? founded 1988 medvet one largest employee owned veterinarian led multispecialty emergency practices country offer opportunity become shareholder rare occurrence practices today relatively singular focus leader emergency specialty healthcare pets dedication mission strategy core values teamwork leadership compassion priorities organization allow us deliver true collaborative care exceptional experience patients clients referral partners employees opportunities advancement leadership available medvet offers competitive compensation full benefits package including health dental vision life disability insurance uniform allowance 401k great signing bonus discretionary funds plit coverage also provided full time team members information medvet please visit website www medvet com submit confidential cv please email amanda purcell amanda purcellmedvet com come medvet equal opportunity employer also drug free organization therefore employment medvet dependent upon passing drug screen background check,vetinary,164,7,4,0,0,0,7,4,0.042682926829268296,0.024390243902439025
Veterinary Assistant,"Odessa, FL, US",urgentvet pet clinic bridges gap daytime general practice emergency overnight care offering hours care canine feline patients without additional expense emergency clinic fees 2 doctor practices offer care common urgent cases including wound management ear infections vomiting diarrhea euthanasia paperless clinics specially designed deliver efficient care equipped cloud based emr digital x ray full suite idexx house lab equipment hospital seeking full time part time veterinary assistant help provide outstanding patient care client service fast paced multi doctor animal hospital veterinary assistant responsible assisting veterinarians care animals assistant helps initial examinations restraining animals necessary stocking examination surgery rooms supplies sterilizing tools ensuring equipment working order veterinary assistants also communicate clients pet owners update patient files applicants must demonstrate professionalism dependability healthy positive communication skills ability multi task next team member energetic people pet person excellent work ethic social organizational skills must willing work flexible hours saturdays ideal candidate upbeat friendly professional attitude compassionate caring work individually well team excellent communication skills sense urgency working harmoniously teammates required prior experience preferred perks job health care plan medical dental vision options discounted veterinary care opportunity make impact community tackling challenging variety tasks ability help animals among great team people requirements prior customer service experience must able lift 40 lbs new port richey fl rapidly developing area located three miles coast practice close new shopping centers new port richey trinity including major store fronts like publix target sprouts well many new restaurants quick 15 minute drive historic tarpon springs sponge docks also close greatest attractions greater tampa bay area including clearwater beach busch gardens adventure island name,vetinary,264,7,11,0,0,2,9,11,0.03409090909090909,0.041666666666666664
Veterinary Assistant - Neurology,"San Marcos, CA, US",veterinary specialty hospital ethos veterinary health large state art 24 hour specialty emergency hospital located sunny san marcos minutes beach hospital proud accredited member aaha dedicated clients community veterinary profession team currently full time openings veterinary kennel assistant primary responsibility veterinary kennel assistant provide support assistance veterinary medical staff veterinary assistant must embody culture treating every client colleague utmost courteous attentive treatment possible keen sensitivity emotional bond owners pets seeking individuals strong emotional competencies self aware infectious positive attitudes authenticity caring toward others position pays 13 00 per hour ethos equal opportunity employer ethos discriminate basis race religion color sex gender identity sexual orientation age physical mental disability national origin veteran status basis covered appropriate law employment decided basis qualifications competence merit business need powered jazzhr,vetinary,126,5,6,0,0,0,5,6,0.03968253968253968,0.047619047619047616
Veterinary Assistant,"Port Richey, FL, US",veterinary assistant want work animals don’t mind little pet hair shirt? got job provides basic high quality preventative veterinary services help ensure pets access affordable care veterinary assistants pet people focused professionals help veterinarians veterinary technicians daily care dogs cats clinic you’ll obtaining medical histories vitals restraining animals treatment examination preparing vaccinations assisting various laboratory procedures offer competitive compensation friendly work environment opportunity grow veterinary care field looking candidate great people skills you’ll serve liaison clients veterinarian veterinary technician share duties care coordinator front end clinic includes answering phone email queries checking clients taking payments overseeing clinic workflow cleaning office clinic maintenance tasks part position well make accessible possible pet owners open seven days week appointments means choose work appreciative clients full time part time depending availability pets deserve love basic health care help us make happen essentials petcare applicants employment required complete background check prior employment use illegal drugs may prohibit employed us drug free workplace applicants required pass drug screen prior employment failure comply drug testing requirement positive result may lead denial employment rescission offer employment termination employment already hired applying employment consent submit testing drugs alcohol accordance drug free workplace policy copy made available upon request applicant selection process applying employment authorize us verify information contained employment application consent release information regarding eligibility employment former employers educational institutions public safety agencies personal references relevant persons organizations applying employment certify statements contained within employment application true complete best knowledge understand misrepresentations false statements made employment application supplement thereto may grounds immediate termination employment rejection consideration employment employed understand essentials petcare “at employer” employment may terminated without cause without notice time option essentials petcare,vetinary,275,4,10,0,0,3,7,10,0.025454545454545455,0.03636363636363636
Registered Veterinary Technician,"5210 York Blvd, Los Angeles, California 90042",dynamic rvt needed leadership position highland park animal hospital full service veterinary medical facility serving community since 1972 committed promoting responsible pet ownership preventative health care spaying neutering health related educational opportunities clients highland park animal hospital strives offer excellence veterinary care highland park surrounding areas website highlandparkanimalhosp com services position overview seeking experienced manager rvt qualifications help optimize work flow productivity environment hospital’s “back house” operations person team player “will do” attitude meet leadership team assess needs hospital implement policies procedures standards care technical manager assist writing protocols oversee implementation standards care responsibilities include spearhead interview hiring process prospective employees assist oversee training orientation technical support team areas hospital function mentor holding staff accountable aspects job duties attitudes perform annual reviews maintain professional relationships staff skills physical requirements possesses positive team player mentality excellent communication skills basic computer skills able lift carry animals 40 lbs able stand walk around extended periods time possesses positive team player mentality comfortable answering client questions educate client people oriented enjoys interacting people working group projects high stress tolerance thrives high pressure environment adaptable flexible enjoys work requires frequent shifts direction education qualifications current rvt california equivalent practice experience ability cover varied work assignments schedules depending hospital needs ability communicate professional pleasant respectful courteous manner times maturity good judgment professional personal appearance,vetinary,218,5,13,0,0,3,8,13,0.03669724770642202,0.05963302752293578
Receptionist - Veterinary Emergency Hospital,"Laguna Hills, CA, US",experienced full time receptionist needed prior veterinary hospital experience required excellent compensation great working environment 401k generous employee discount scrub allowance vacation medical dental aflac need cheerful efficient customer service oriented individual veterinary hospital experience fast paced emergency facility must available holidays evenings weekends please call 949 364 6228 6 p fax resume 949 364 1730 animal urgent care clinic facility area designed equipped emergency animal hospital ground doctors trained dedicated meet demands emergency medicine patients enjoy latest diagnostic monitoring supportive equipment including digital radiology direct capture technology affords us highest quality radiographs available veterinary medicine helping us make correct diagnosis house laboratory capabilities supplies timely critical information pets illness access ultrasound examinations add ability make critical diagnoses institute appropriate treatment pet require emergency surgery time assured staff equipment expertise would expect doctor,vetinary,133,3,3,0,0,0,3,3,0.022556390977443608,0.022556390977443608
Veterinary Assistant,"Reseda, CA, US",job description seeking experienced veterinary assistant join team successful candidate believer possibilities high quality veterinary medicine patient care—with expertise technical know make happen duties include position supporting doctors technician team creating positive low stress atmosphere clients patients maintaining medical records preparing surgical suite surgical patients filling prescriptions performing laboratory work diagnostic imaging providing compassionate care home away home boarded hospitalized pets vca passion medicine compassion pets people matched commitment professional growth enjoy exposure diverse stimulating caseload employ advanced imaging monitoring tools tap expertise 4 500 doctors including 600 boarded specialists sharpen skills—and even learn new techniques—and explore career options vca offer continuing education transfer specialization leadership opportunities,vetinary,107,2,5,0,0,2,4,5,0.037383177570093455,0.04672897196261682
Veterinary Assistant,"Culver City, CA, US",description position veterinary cancer group la veterinary cancer group los angeles hiring full time veterinary assistant join amazing team experience working client patient centric team veterinary cancer group los angeles progressive oncology practice strives improve quality life pets cancer people love one reputable sophisticated oncology practices world board certified radiation medical oncologists state art equipment certified residency program continuously encourage learning advancing team members skill sets promote emotionally intelligent work environment positive work life balance invest heavily employees many opportunities growth development offer generous health benefits including medical dental vision plans 401k life insurance paid time desirable work schedules competitive pay continuing education professional uniforms generous pet discounts veterinary cancer group los angeles collaborate specialty veterinary practices city angeles campus including radiology surgery neurology avian exotics name volunteer charitable events participate engaging work environment mutually supported co workers veterinary cancer group los angeles one location four within veterinary cancer group growing doctors teams support throughout la orange counties giving us unique ability available clients patients seven days week passionately committed improving lives pets cancer providing depth information access latest treatments available participate research trial studies bring opportunities patients readily available provide hope guidance clients stressful time care pets care families love los angeles practice located culver city hub arts entertainment well small versatile businesses edges westside minutes away beach veterinary assistants provide essential medical support entire practice team patients assistants must friendly personable professional courteous capable handling multiple tasks patients given time comfortable wide variety patient temperaments thirst knowledge eagerness continue hone technical medical skills strong foundation future professional development must high school diploma equivalent experience education minimum three years work experience clinical setting support veterinarian,vetinary,276,4,11,0,0,3,7,11,0.025362318840579712,0.03985507246376811
Veterinary Assistant - 000096,"Signal Hill, CA, US",veterinary assistant careers banfield pet hospital want put love pets action jobs rewarding vet assistant working closely pet health care professionals banfield you’ll chance advocate pets educate clients aspects pet health addition goal advance career you’ll access variety learning development opportunities along way job description summary veterinary assistant key member hospital team supports assists veterinarians veterinary technicians ensuring safety pets clients associates continuity quality veterinary care preferred education licenses certificate completion navta approved veterinary assistant program equivalent combination education training experience provides required knowledge skills abilities high school diploma equivalent preferred preferred experience must able perform required skills navta approved veterinary assistant programs level aids efficiency practice day life banfield veterinary assistant vet assistant provides professional efficient exceptional service times making sure clients pets comfortable hospital use technical skills daily basis within state practice acts outlined navta guidelines veterinary assistant skills duties responsibilities include helping maintain flow patients communicating veterinarian vet techs carrying setting procedures require veterinarian vet tech assistance adhering hospital standards keep pets safe treatment areas exam rooms labs clean organized educating clients optimum wellness plans® importance preventive care mentoring members hospital team commitment beyond qualifications every associate including vet assistant important contribution make veterinary team we’re looking vet assistants dedicated work positive attitude use five principles quality responsibility mutuality efficiency freedom guide addition vet assistants action oriented customer focused good listeners effective communicators caring care benefits banfield veterinary assistant comes benefits support personal wellness professional development offer wide range perks programs help take care family—including pets personal health savings wellness benefits every team member needs appreciated vet assistants receive generous benefits package including 401 k participation paid time optimum wellness plans pets addition medical vision dental life disability insurance offered associates based eligibility potential big passion whether you’re new vet assistant working years changing careers we’ll support professional growth performance development plans designed help reach established careers goals relevant learning opportunities networking events ways offer skills community support structure helps thrive we’ve created one kind leadership structure throughout practice includes support corporate headquarters field hospital level together team making real impact pet health care hospitals communities field veterinary medicine start banfield career veterinary assistant learn impact make part banfield hospital team see support wellness people profession view full job description you’re ready make move apply today banfield pet hospital® strongly supports values uniqueness individuals promotes work environment diversity embraced banfield pet hospital equal opportunity employer qualified applicants receive consideration employment without regard race religion color national origin sex sexual orientation gender identity age genetic information status protected veteran status qualified individual disability banfield pet hospital complies applicable federal state local laws governing nondiscrimination employment every banfield location,vetinary,440,13,28,0,0,4,17,28,0.038636363636363635,0.06363636363636363
Veterinary Assistant,"Pomona, CA, US",pomona area small animal hospital seeking experienced veterinary assistant busy practice candidate least one year experience working animal hospital position part time approximately 25 hours week tuesday saturday pay doe interested candidates reply ad call 310 838 9300 immediate consideration,vetinary,40,0,1,0,0,0,0,1,0.0,0.025
Veterinary Assistant,"Laguna Woods, CA, US",overview laguna hills animal hospital seeking enthusiatic veterinary assistant join team located beautiful laguna woods full service practice offereing top notch care patients including wellness soft tissue orthopedic surgery dentistry ultrasound also offer pet hotel well grooming services qualified candidate must excellent team skills along true compassion patients clients position overview veterinary assistant provides support veterinarians technicians daily tasks cleaning maintaining equipment feeding exercising grooming patients preparing sanitizing surgery suites restraining handling patients clerical administrative work deliver quality care patients provide exceptional service minimum qualifications requirements apply full time benefits package available including medical dental vision well 401k uniform allowance paid time several benefits pets please visit website www lhah com apply online petvetcareers com,vetinary,115,1,3,0,0,0,1,3,0.008695652173913044,0.02608695652173913
Veterinary Assistant,"Township of Woodbridge, NJ, US",veterinary assistant careers company want put love pets action jobs rewarding vet assistant working closely pet health care professionals company youll chance advocate pets educate clients aspects pet health addition goal advance career youll access variety learning development opportunities along way job description summarythe veterinary assistant key member hospital team supports assists veterinarians veterinary technicians ensuring safety pets clients associates continuity quality veterinary care preferrededucation licensescertificate completion navta approved veterinary assistant program equivalent combination education training experience provides required knowledge skills abilities high school diploma equivalent preferred preferred experiencemust able perform required skills navta approved veterinary assistant programs level aids efficiency practice day life company veterinary assistant responsibilities include vet assistant provides professional efficient exceptional service times making sure clients pets comfortable hospital use technical skills daily basis within state practice acts outlined navta guidelines veterinary assistant skills duties helping maintain flow patients communicating veterinarian vet techs carrying setting procedures require veterinarian vet tech assistance adhering hospital standards keep pets safe treatment areas exam rooms labs clean organized educating clients optimum wellness plans importance preventive care mentoring members hospital team commitment beyond qualifications every associate including vet assistant important contribution make veterinary team looking vet assistants dedicated work positive attitude use five principles quality responsibility mutuality efficiency freedom guide addition vet assistants action oriented customer focused good listeners effective communicators caring care benefits company veterinary assistant comes benefits support personal wellness professional development offer wide range perks programs help take care familyincluding pets personal health savings wellness benefits every team member needs appreciated vet assistants receive generous benefits package including 401 k participation paid time optimum wellness plans pets addition medical vision dental life disability insurance offered associates based eligibility potential big passion whether youre new vet assistant working years changing careers well support professional growth performance development plans designed help reach established careers goals relevant learning opportunities networking events ways offer skills community support structure helps thrive weve created one kind leadership structure throughout practice includes support corporate headquarters field hospital level together team making real impact pet health care hospitals communities field veterinary medicine start company career veterinary assistant learn impact make part company hospital team see support wellness people profession view full job description youre ready make move apply today company strongly supports values uniqueness individuals promotes work environment diversity embraced company equal opportunity employer qualified applicants receive consideration employment without regard race religion color national origin sex sexual orientation gender identity age genetic information status protected veteran status qualified individual disability company complies applicable federal state local laws governing nondiscrimination employment every company location,vetinary,428,13,28,0,0,4,17,28,0.0397196261682243,0.06542056074766354
Veterinary Assistant - 002051,"Beaverton, OR, US",application deadline open filled job location hillsboro date posted 06 06 2020 hours worked per week provided shift provided duration job either full part time 6 months may contact employer directly obtain contact information print add jobs difficulty using button? job summary **veterinary assistant careers banfield pet hospital** want put love pets action jobs rewarding vet assistant working closely pet health care professionals banfield youll chance advocate pets educate clients aspects pet health addition goal advance career youll access variety learning development opportunities along way **job description summary** veterinary assistant key member hospital team supports assists veterinarians veterinary technicians ensuring safety pets clients associates continuity quality veterinary care **preferred education licenses** certificate completion navta approved veterinary assistant program equivalent combination education training experience provides required knowledge skills abilities high school diploma equivalent preferred **preferred experience** must able perform required skills navta approved veterinary assistant programs level aids efficiency practice **a day life banfield veterinary assistant** vet assistant provides professional efficient exceptional service times making sure clients pets comfortable hospital use technical skills daily basis within state practice acts outlined navta guidelines veterinary assistant skills duties responsibilities include helping maintain flow patients communicating veterinarian vet techs carrying setting procedures require veterinarian vet tech assistance adhering hospital standards keep pets safe treatment areas exam rooms labs clean organized educating clients optimum wellness plans importance preventive care mentoring members hospital team **commitment beyond qualifications** every associate including vet assistant important contribution make veterinary team looking vet assistants dedicated work positive attitude use five principles http www banfield com us quality responsibility mutuality efficiency freedom guide addition vet assistants action oriented customer focused good listeners effective communicators **caring care benefits banfield veterinary assistant** comes benefits support personal wellness professional development offer wide range perks programs help take care family including pets **personal health savings wellness benefits** every team member needs appreciated vet assistants receive generous benefits package including 401 k participation paid time optimum wellness plans pets addition medical vision dental life disability insurance offered associates based eligibility **potential big passion** whether youre new vet assistant working years changing careers well support professional growth performance development plans designed help reach established careers goals relevant learning opportunities networking events ways offer skills community http www banfield com us community wellness communities **a support structure helps thrive** weve created one kind leadership structure throughout practice includes support corporate headquarters field hospital level together team making real impact pet health care hospitals communities field veterinary job classification veterinary assistants laboratory animal caretakers access statewide regional occupation report information wages employment outlooks skills training programs related occupations compensation salary provided job requirements experience required see job summary education required none minimum age n gender n,vetinary,447,12,26,0,0,4,16,26,0.035794183445190156,0.058165548098434
